10	3
10	4
10	8
5	9
5	0
3	1
10	7
11	12
11	19
11	20
11	21
11	22
11	23
11	24
11	25
11	26
11	27
11	28
11	29
11	30
26	13
27	13
6	32
32	5
32	2
19	34
25	33
18	35
18	36
18	37
18	38
18	39
18	40
18	41
18	42
18	43
18	44
18	45
18	46
18	47
18	48
18	49
18	50
18	51
18	52
18	53
18	54
18	55
56	35
56	36
56	37
56	38
57	39
57	40
57	41
57	42
58	43
58	44
58	45
58	46
59	47
60	48
60	49
60	50
60	51
61	52
61	53
61	54
61	55
35	17
36	17
37	17
38	17
39	17
40	17
41	17
42	17
43	17
44	17
45	17
46	17
47	17
48	17
49	17
50	17
51	17
52	17
53	17
54	17
55	17
20	66
23	65
24	65
22	65
21	64
28	63
29	62
12	34
30	67
20	34
22	33
29	63
